date,year,month,sum,mean,pixels,region,type
2014-12-01,2014,12,1657.6840297281742,0.5285982237653617,3136,Manali (Himachal),Raw
2015-01-01,2015,1,1374.660329952836,0.4383483195002666,3136,Manali (Himachal),Raw
2015-02-01,2015,2,1858.095373749733,0.5925049023436648,3136,Manali (Himachal),Raw
2015-03-01,2015,3,1396.9005864784122,0.446865190812032,3126,Manali (Himachal),Raw
2015-04-01,2015,4,1228.2867955937982,0.391673085329655,3136,Manali (Himachal),Raw
2015-05-01,2015,5,977.7674196299631,0.3117880802391464,3136,Manali (Himachal),Raw
2015-06-01,2015,6,809.9884731838392,0.2608658528772429,3105,Manali (Himachal),Raw
2015-07-01,2015,7,820.5776479775086,0.26292138672781434,3121,Manali (Himachal),Raw
2015-08-01,2015,8,589.485096456985,0.1897280645178581,3107,Manali (Himachal),Raw
2015-09-01,2015,9,791.5238253325224,0.25239917899634007,3136,Manali (Himachal),Raw
2015-10-01,2015,10,956.4156581498682,0.30527151552820564,3133,Manali (Himachal),Raw
2015-11-01,2015,11,1064.2466338090599,0.33947261046540983,3135,Manali (Himachal),Raw
2015-12-01,2015,12,1354.8962648436427,0.43204600282003913,3136,Manali (Himachal),Raw
2016-01-01,2016,1,666.0309653698714,0.22623334421530958,2944,Manali (Himachal),Raw
2016-02-01,2016,2,850.4786881285254,0.2731145433938746,3114,Manali (Himachal),Raw
2016-03-01,2016,3,830.9802180927945,0.26651065365387894,3118,Manali (Himachal),Raw
2016-04-01,2016,4,794.2743000146002,0.2540864683348049,3126,Manali (Himachal),Raw
2016-05-01,2016,5,969.8342153653502,0.309258359491502,3136,Manali (Himachal),Raw
2016-06-01,2016,6,878.650576130487,0.2810782393251718,3126,Manali (Himachal),Raw
2016-07-01,2016,7,507.0002293123398,0.16855060814904912,3008,Manali (Himachal),Raw
2016-08-01,2016,8,384.57736351541826,0.1275123884334941,3016,Manali (Himachal),Raw
2016-09-01,2016,9,814.8606855422258,0.2598407798285159,3136,Manali (Himachal),Raw
2016-10-01,2016,10,1142.50580881536,0.36431945434163265,3136,Manali (Himachal),Raw
2016-11-01,2016,11,777.8009363976307,0.24802325777985673,3136,Manali (Himachal),Raw
2016-12-01,2016,12,712.6123916930519,0.22781726077143602,3128,Manali (Himachal),Raw
2017-01-01,2017,1,1272.2830478549004,0.40570250250475137,3136,Manali (Himachal),Raw
2017-02-01,2017,2,1525.7901209667325,0.48669541338651756,3135,Manali (Himachal),Raw
2017-03-01,2017,3,1320.3325677216053,0.4210244157275527,3136,Manali (Himachal),Raw
2017-04-01,2017,4,1410.8561975955963,0.4498903691312488,3136,Manali (Himachal),Raw
2017-05-01,2017,5,1529.5332863777876,0.48773382856434555,3136,Manali (Himachal),Raw
2017-06-01,2017,6,1333.2263637036085,0.42513595781365066,3136,Manali (Himachal),Raw
2017-07-01,2017,7,1093.6290022432804,0.3487337379602297,3136,Manali (Himachal),Raw
2017-08-01,2017,8,1500.3368117958307,0.47842372825122154,3136,Manali (Himachal),Raw
2017-09-01,2017,9,1523.2363295853138,0.48572587040348014,3136,Manali (Himachal),Raw
2017-10-01,2017,10,2009.269990682602,0.6407110939676665,3136,Manali (Himachal),Raw
2017-11-01,2017,11,1815.6699918657541,0.5791610819348498,3135,Manali (Himachal),Raw
2017-12-01,2017,12,1374.970001772046,0.4385869224153257,3135,Manali (Himachal),Raw
2018-01-01,2018,1,1235.530001193285,0.3939827809927567,3136,Manali (Himachal),Raw
2018-02-01,2018,2,1588.4199967384338,0.5065114785517965,3136,Manali (Himachal),Raw
2018-03-01,2018,3,1617.0099969953299,0.5157926625184466,3135,Manali (Himachal),Raw
2018-04-01,2018,4,1418.9800010696054,0.4530587487450847,3132,Manali (Himachal),Raw
2018-05-01,2018,5,1492.5600022524595,0.4759438782692792,3136,Manali (Himachal),Raw
2018-06-01,2018,6,1356.5600028038025,0.4325765315063146,3136,Manali (Himachal),Raw
2018-07-01,2018,7,1170.8199983164668,0.39105544365947453,2994,Manali (Himachal),Raw
2018-08-01,2018,8,1083.9400019869208,0.34898261493461713,3106,Manali (Himachal),Raw
2018-09-01,2018,9,1173.4800002202392,0.3741964286416579,3136,Manali (Himachal),Raw
2018-10-01,2018,10,1580.0999987274408,0.5041799613042249,3134,Manali (Himachal),Raw
2018-11-01,2018,11,1691.109994918108,0.5392570136856212,3136,Manali (Himachal),Raw
2018-12-01,2018,12,1299.8100017234683,0.4144802301414121,3136,Manali (Himachal),Raw
2019-01-01,2019,1,1489.1900041177869,0.4751723050790641,3134,Manali (Himachal),Raw
2019-02-01,2019,2,1416.529997881502,0.45184369948373265,3135,Manali (Himachal),Raw
2019-03-01,2019,3,1542.8899997919798,0.4919929846275446,3136,Manali (Himachal),Raw
2019-04-01,2019,4,1373.6800044625998,0.43803571570873717,3136,Manali (Himachal),Raw
2019-05-01,2019,5,1463.4600034058094,0.4666645419023627,3136,Manali (Himachal),Raw
2019-06-01,2019,6,1479.6200019717216,0.4718176026695541,3136,Manali (Himachal),Raw
2019-07-01,2019,7,1226.7800018657,0.3911926026357461,3136,Manali (Himachal),Raw
2019-08-01,2019,8,958.6000005938113,0.30567602059751636,3136,Manali (Himachal),Raw
2019-09-01,2019,9,1168.8600011616945,0.3727232146561526,3136,Manali (Himachal),Raw
2019-10-01,2019,10,1659.73999504745,0.5329929335412492,3114,Manali (Himachal),Raw
2019-11-01,2019,11,1650.5599989295006,0.5273354629167734,3130,Manali (Himachal),Raw
2019-12-01,2019,12,1384.810003079474,0.44158482241054653,3136,Manali (Himachal),Raw
2020-01-01,2020,1,1155.9599991533905,0.3686096936075863,3136,Manali (Himachal),Raw
2020-02-01,2020,2,1608.0400006771088,0.512767857358772,3136,Manali (Himachal),Raw
2020-03-01,2020,3,1468.5800017118454,0.4682971944234201,3136,Manali (Himachal),Raw
2020-04-01,2020,4,1435.6999952197075,0.457812498475672,3136,Manali (Himachal),Raw
2020-05-01,2020,5,1523.8799965381622,0.48593112134507727,3136,Manali (Himachal),Raw
2020-06-01,2020,6,1422.160002157092,0.4534948986470319,3136,Manali (Himachal),Raw
2020-07-01,2020,7,1307.4499987661839,0.4169164536881964,3136,Manali (Himachal),Raw
2020-08-01,2020,8,1258.5999997258186,0.40133928562685545,3136,Manali (Himachal),Raw
2020-09-01,2020,9,1223.6800047010183,0.3902040831317023,3136,Manali (Himachal),Raw
2020-10-01,2020,10,1448.280003234744,0.461823980623324,3136,Manali (Himachal),Raw
2020-11-01,2020,11,1781.309990733862,0.5680197674533999,3136,Manali (Himachal),Raw
2020-12-01,2020,12,1703.1399950832129,0.5430931106770449,3136,Manali (Himachal),Raw
2021-01-01,2021,1,1488.2500009834766,0.4745695156197311,3136,Manali (Himachal),Raw
2021-02-01,2021,2,1449.9000032097101,0.4623405622479943,3136,Manali (Himachal),Raw
2021-03-01,2021,3,1518.5399975329638,0.48422831553984813,3136,Manali (Himachal),Raw
2021-04-01,2021,4,1668.5999939590693,0.5320790797063358,3136,Manali (Himachal),Raw
2021-05-01,2021,5,1407.4699976444244,0.4488105859835537,3136,Manali (Himachal),Raw
2021-06-01,2021,6,1469.5799966454506,0.4686160703588809,3136,Manali (Himachal),Raw
2021-07-01,2021,7,1671.1499944627285,0.5328922176220435,3136,Manali (Himachal),Raw
2021-08-01,2021,8,1471.689996227622,0.46928890185829786,3136,Manali (Himachal),Raw
